study_hours,attendance,assignment_score,mock_exam_score,pass
40,18,22,78,1
12,37,81,64,1
77,65,61,79,1
3,31,39,47,0
42,49,18,5,0
29,82,61,37,0
56,23,39,26,1
50,51,93,35,0
98,18,71,34,1
81,75,38,54,0
68,68,93,27,0
97,95,86,55,1
68,86,23,76,0
19,73,19,13,0
49,3,78,34,1
97,77,54,61,1
63,56,61,66,1
13,25,36,29,0
99,51,17,49,0
58,12,56,53,1
13,57,68,65,0
30,29,88,54,1
24,18,54,24,1
69,5,30,11,0
12,28,99,60,1
62,36,85,69,1
7,63,79,58,0
25,44,49,23,0
25,9,64,39,0
56,19,98,23,1
44,83,78,73,0
55,12,56,54,1
69,7,63,7,1
68,11,20,50,0
80,33,31,33,1
77,81,64,31,0
53,15,37,48,1
36,92,55,67,0
61,41,98,13,0
20,52,90,64,1
30,100,83,61,0
14,80,84,5,0
11,51,81,73,1
15,29,21,55,1
61,51,85,55,0
78,63,86,52,1
84,93,23,43,1
88,23,62,11,1
14,1,70,58,1
79,73,63,76,0
36,29,52,46,0
51,98,95,68,1
79,12,23,13,1
61,21,43,55,0
49,97,33,7,0
70,17,69,48,1
32,78,80,30,0
68,58,55,74,1
40,93,89,21,1
61,22,54,18,1
79,71,72,33,1
33,49,38,54,1
97,36,44,32,1
44,35,55,66,0
88,51,66,37,0
65,45,95,43,1
96,6,17,5,0
88,81,17,21,1
22,9,63,7,0
94,64,67,74,1
34,30,39,44,0
68,33,57,9,0
93,43,60,7,1
96,45,74,47,1
27,22,52,26,0
47,6,18,33,0
45,11,66,10,0
28,23,27,74,0
4,18,23,73,0
23,35,70,74,1
73,10,49,33,0
23,43,39,45,1
22,29,34,13,0
44,12,80,42,1
47,90,31,78,0
33,76,36,22,0
69,100,42,8,0
52,77,53,48,0
65,25,27,62,0
67,14,65,49,1
32,40,57,43,1
35,39,68,27,0
74,30,85,71,0
18,23,95,43,0
24,4,81,19,0
76,6,68,78,0
41,54,20,26,0
85,65,75,68,1
89,28,16,79,0
100,50,92,73,0
85,94,60,63,1
88,20,20,51,0
45,74,48,73,1
99,76,75,72,1
39,55,39,40,0
44,95,52,63,1
2,90,63,39,1
75,93,91,48,0
27,17,82,58,0
6,57,71,13,1
66,80,39,35,0
61,53,92,42,1
55,70,78,56,1
92,19,72,76,1
66,74,99,15,1
58,80,50,80,0
37,50,89,32,1
7,83,38,56,0
20,72,29,67,0
96,99,83,39,1
31,83,85,69,0
80,81,65,68,0
74,55,86,34,1
30,47,27,7,0
40,68,27,46,0
84,42,49,38,0
48,89,88,49,1
34,95,57,16,0
27,84,48,79,1
65,33,56,7,0
6,88,49,78,1
15,59,54,23,0
3,56,25,8,1
87,52,25,75,0
100,67,74,37,1
100,5,22,76,0
56,74,21,44,0
24,31,48,50,1
97,7,78,34,1
98,43,49,14,0
9,42,39,31,1
38,83,46,47,1
35,4,78,28,1
11,51,31,70,0
12,71,63,6,0
40,33,100,73,0
82,60,28,29,1
95,99,90,38,1
35,18,98,36,0
78,24,95,73,1
50,66,15,59,0
66,17,78,46,0
62,92,59,23,0
55,25,97,55,1
36,84,19,43,1
45,7,61,45,1
21,29,45,73,0
7,89,80,41,1
63,86,54,66,1
68,86,72,75,1
92,66,27,14,0
85,20,47,68,1
38,15,95,6,1
97,24,42,66,0
25,89,41,40,0
36,91,55,34,1
90,65,41,60,1
22,98,19,80,1
39,73,23,14,0
65,74,38,11,1
47,27,74,56,1
47,17,81,26,0
47,55,88,80,1
84,56,72,10,1
39,64,22,37,1
79,93,52,52,0
95,79,23,57,1
8,99,17,66,1
31,86,72,54,1
60,39,70,41,1
2,76,68,68,1
68,78,77,69,0
83,27,18,64,1
66,23,16,30,0
43,95,89,48,0
88,31,73,79,1
85,8,60,5,0
47,22,73,62,0
71,66,50,38,0
85,43,31,31,1
65,60,92,62,0
40,75,52,46,0
98,9,55,44,0
51,83,40,6,0
56,97,46,68,0
72,68,77,14,1
90,17,71,5,0
32,57,95,41,0
23,35,74,60,1
95,18,52,60,1
14,87,21,13,1
3,97,24,17,0
50,29,65,19,0
86,74,23,57,0
57,75,55,43,1
54,20,36,36,1
34,45,84,23,0
28,16,47,35,0
66,88,15,67,1
5,1,45,77,1
1,30,18,79,0
49,36,88,50,1
66,79,94,53,0
55,43,47,24,1
77,93,38,20,1
96,3,77,72,0
95,52,30,41,1
68,100,89,11,0
21,34,49,62,0
8,11,62,71,0
12,68,24,50,1
80,83,96,9,0
10,90,66,26,1
58,31,40,66,0
88,68,98,46,0
76,97,31,26,1
95,31,87,76,1
30,79,20,48,0
66,48,62,12,0
86,22,39,74,0
87,97,39,67,0
97,43,17,76,1
28,41,52,75,1
84,11,22,50,1
75,59,33,11,1
65,3,17,28,0
7,83,87,48,0
79,100,96,43,1
3,90,88,64,1
25,1,57,21,0
80,60,98,75,0
25,68,64,77,1
3,10,82,30,1
89,37,40,23,1
53,64,73,75,1
69,40,77,16,1
73,64,51,42,0
68,23,91,40,0
65,23,76,76,0
24,87,67,22,1
5,92,92,11,0
49,75,27,15,0
71,70,98,16,1
83,23,90,63,0
41,74,26,73,0
82,30,34,79,0
84,52,43,11,1
78,45,40,63,0
34,52,35,64,1
18,12,72,56,0
90,94,64,68,0
22,59,55,31,0
78,20,99,47,0
78,32,43,73,0
86,87,46,54,0
2,25,70,14,0
87,71,82,8,1
61,39,56,57,1
16,2,51,66,0
38,70,90,57,0
57,56,92,40,1
73,27,26,30,1
72,56,96,11,1
33,29,17,25,1
15,10,51,42,1
90,39,82,42,0
59,100,77,34,0
28,9,85,26,1
33,42,56,29,1
58,28,41,60,1
96,56,65,74,0
10,22,28,79,1
22,52,95,25,1
43,58,67,79,1
52,86,63,63,0
56,50,62,6,0
78,91,16,75,0
29,67,18,32,0
67,31,58,16,0
88,85,72,5,0
59,93,51,18,1
25,38,74,38,1
86,83,58,30,0
63,40,57,40,0
6,53,31,29,1
77,50,30,80,0
58,70,32,37,1
5,70,68,75,1
38,7,45,8,0
51,61,41,16,0
17,53,35,76,0
58,16,68,23,0
37,59,25,59,1
17,69,100,30,1
49,16,38,61,1
32,96,52,60,0
25,63,76,8,0
85,24,21,52,0
67,87,69,54,0
74,37,96,5,1
38,77,75,77,1
49,30,50,15,1
35,18,84,33,1
65,75,59,53,1
97,77,66,43,0
86,8,99,70,1
64,96,85,61,0
91,80,61,67,1
66,10,38,57,0
98,48,35,10,0
25,41,98,56,1
65,30,31,6,1
22,95,59,54,0
54,19,31,40,0
61,7,85,28,0
37,58,27,45,1
68,95,68,47,1
2,50,22,40,1
3,46,85,73,0
59,8,15,80,0
58,82,57,76,1
89,32,65,14,0
89,61,74,22,1
61,5,26,57,1
51,100,98,24,1
87,38,86,31,1
1,78,31,77,1
40,36,20,70,0
1,87,43,14,0
78,91,74,53,1
72,44,54,50,0
76,1,68,49,1
51,60,80,36,0
50,91,68,39,0
73,79,70,46,1
33,15,40,33,1
62,2,55,61,0
61,63,54,71,0
32,74,62,77,0
22,4,49,57,1
100,74,22,53,0
70,1,25,15,1
84,71,58,20,1
22,60,87,39,1
26,86,40,54,0
42,17,73,48,1
18,84,83,30,0
67,36,33,79,0
75,87,53,42,1
70,39,18,46,1
31,20,84,26,1
46,29,51,43,0
28,35,44,80,0
71,72,81,40,0
7,59,78,61,0
48,27,67,72,0
36,42,30,51,1
57,12,37,17,1
43,46,39,10,1
31,64,27,10,0
28,68,50,78,1
82,23,45,40,1
64,11,16,41,1
66,74,19,48,0
91,93,61,65,0
83,19,77,61,0
91,26,70,11,1
67,94,38,38,0
41,70,63,52,0
23,23,74,51,0
1,22,43,42,1
95,91,49,60,0
35,83,35,51,1
40,38,74,43,1
63,95,50,77,0
40,36,74,25,1
89,53,85,20,0
8,40,33,69,1
25,12,95,63,0
78,66,98,75,0
97,33,89,15,1
68,66,71,27,1
86,86,50,59,0
73,28,46,28,1
49,15,70,34,0
55,94,99,55,1
78,5,99,65,0
15,31,17,44,1
73,53,80,77,0
8,41,65,15,1
14,83,68,65,1
92,91,66,56,0
42,77,26,26,1
31,30,59,44,1
85,93,43,51,0
13,66,73,63,1
96,78,58,59,0
53,89,85,62,1
48,36,77,79,0
54,42,16,72,0
89,61,20,5,0
5,76,90,46,0
70,20,77,77,0
25,93,46,37,1
78,80,80,21,0
83,74,65,33,1
67,35,38,64,1
84,92,20,42,0
95,29,30,31,0
15,40,85,74,1
59,90,42,14,1
94,40,50,12,0
100,69,26,52,1
76,18,29,26,0
37,22,38,67,0
38,9,87,27,1
98,19,83,34,0
38,63,81,51,1
30,56,56,56,1
7,90,50,10,1
52,46,17,11,1
50,43,45,23,0
55,66,82,16,0
52,21,49,23,1
27,96,17,13,1
11,92,35,23,1
32,5,39,16,1
31,95,33,44,0
82,68,76,48,1
71,84,47,38,1
2,13,58,5,1
22,71,36,48,1
74,13,60,11,1
84,88,49,43,1
82,72,66,24,0
17,36,29,38,1
84,34,22,54,0
89,43,66,28,1
7,63,36,6,1
82,94,92,69,1
43,36,45,72,1
5,41,45,64,1
15,90,68,68,1
74,74,28,8,1
70,50,68,60,1
30,58,89,65,0
44,90,56,80,0
74,6,96,68,1
49,25,100,45,1
85,19,78,22,1
61,5,43,22,1
15,50,52,35,0
38,26,59,64,0
20,62,15,70,0
12,25,77,64,0
61,53,84,22,0
51,85,85,57,1
77,12,26,18,1
99,34,20,39,1
60,42,33,7,0
16,89,93,71,1
14,20,46,62,0
100,2,66,23,0
35,88,78,26,0
7,84,26,44,1
84,67,33,27,1
99,38,77,13,0
21,63,79,42,0
85,12,42,6,0
71,61,35,69,1
15,11,57,50,0
83,53,19,37,0
98,91,16,78,1
62,99,17,78,1
41,7,89,79,1
11,15,17,55,1
86,14,48,42,1
67,76,90,17,0
73,89,48,28,1
43,34,51,5,0
50,36,35,71,1
18,99,57,20,1
82,30,46,25,1
92,99,77,16,1
73,66,32,32,0
52,51,39,40,1
34,65,54,11,1
38,85,41,12,0
38,47,60,45,1
22,77,20,62,0
